run_name,overall_average_es,overall_percent_exact_matches,huggingface_diffusers_es,nerfstudio-project_nerfstudio_es,awslabs_fortuna_es,huggingface_evaluate_es,google_vizier_es,alibaba_FederatedScope_es,pytorch_rl_es,opendilab_ACE_es,huggingface_diffusers_em,nerfstudio-project_nerfstudio_em,awslabs_fortuna_em,huggingface_evaluate_em,google_vizier_em,alibaba_FederatedScope_em,pytorch_rl_em,opendilab_ACE_em
rg-one-gram-ws-20-ss-10_0.1_instruct_temp_0_100_generations,0.4,0.23,0.36,0,0.47,0.39,0.31,0.47,0.41,0.31,0.24,0,0.29,0.17,0.08,0.22,0.3,0.12
rg-one-gram-ws-20-ss-10_0.1_instruct_temp_0_100_generations_processed,0.55,0.33,0.6,0,0.52,0.44,0.51,0.59,0.6,0.54,0.41,0,0.33,0.17,0.23,0.33,0.43,0.21
rg-one-gram-ws-20-ss-10-context-1000_0.1_generations_processed,0.56,0.32,0.74,0,0.56,0.45,0.44,0.62,0.55,0.49,0.59,0,0.33,0.17,0.15,0.39,0.35,0.21
rg-one-gram-ws-20-ss-2-fixed_0.1_with_instructions_temp_0_generations_no_system_not_processed,0.53,0.36,0.53,0,0.78,0.49,0.36,0.44,0.43,0.6,0.35,0,0.67,0.39,0.15,0.22,0.26,0.42
rg-one-gram-ws-20-ss-2-fixed_0.1_with_instructions_temp_0_generations,0.59,0.4,0.61,0,0.83,0.55,0.48,0.62,0.42,0.67,0.47,0,0.67,0.33,0.23,0.33,0.26,0.5
processed_generations\rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_pass_at_3_generations,0.43,0.26,0.11,0,0.22,0.13,0.13,0.16,0.12,0.13,0.08,0,0.15,0.04,0.05,0.11,0.07,0.08
processed_generations\rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_pass_at_3_generations_processed,0.61,0.37,0.19,0,0.27,0.21,0.2,0.2,0.17,0.19,0.14,0,0.19,0.11,0.05,0.15,0.1,0.11
raw_generations\rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_3_variants_raw_generations_fixed,0.53,0.33,0.15,0,0.23,0.19,0.19,0.18,0.15,0.15,0.1,0,0.17,0.09,0.08,0.11,0.11,0.08
processed_generations\rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_3_variants_raw_generations_fixed_processed,0.7,0.46,0.21,0,0.28,0.23,0.25,0.23,0.2,0.23,0.16,0,0.22,0.13,0.1,0.13,0.14,0.14
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_raw_generations,0.42,0.25,0.35,0,0.62,0.4,0.45,0.48,0.36,0.34,0.24,0,0.42,0.17,0.15,0.22,0.24,0.21
